Date,City,Cause of Death
09/03/2017,Greensborough -  Victoria,Suicide
10/28/2017,Howard Springs -  Northern Territory,Unknown/Undetermined
01/09/2018,Wollongong -  New South Wales,Drowning
01/10/2018,Niagara Park -  New South Wales,Suicide
03/21/2018,Whitsundays -  Queensland,Air Accident
03/21/2018,Whitsundays -  Queensland,Air Accident
04/29/2018,Gerogery -  New South Wales,Veh. Accid-Auto
04/29/2018,Gerogery -  New South Wales,Veh. Accid-Auto
05/22/2018,Caringbah - New South Wales,Drug-Related
12/05/2002,Oberwart -  Austria,Other Accident
12/08/2002,Krems -  Austria,Veh. Accident-Auto
12/21/2002,Graz -  Austria,Suicide
09/24/2003,Vienna -  Austria,Other Accident
12/16/2003,Federal Highway B-154 Between Plomberg And Scharfling -  Austria,Veh. Accident-Auto
05/28/2004,Angath -  Tyrol -  A12 Austrian Highway -  Austra,Veh. Accident-Auto
01/22/2005,Gampberg Mountain -  St. Anton -  Tyrol -  Austria,Disaster
09/17/2005,Triesterstrasse -  Graz -  Austria,Veh. Accident-Auto
05/03/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
05/03/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
08/12/2006,Kufstein -  Austria,Suicide
09/14/2006,Brand -  Vorarlberg -  Austria,Other Accident
10/18/2006,Vienna -  Austria,Suicide
10/22/2007,Schottenfeldgasse 3 -  Neusiedl/zaya,Other Accident
05/19/2008,Vienna -  Austria,Suicide
06/11/2008,Salzburg -  Austria,Veh. Accident-Auto
06/30/2008,Haritzersteig-leiterschlucht -  Carinthia -  Austria,Other Accident - Mountain Climbing
09/13/2008,Vienna -   Austria,Other Accident
12/03/2008,Vienna -   Austria,Suicide
05/26/2009,Salzburg -  Austria,Veh. Accid-Auto
07/05/2009,Baden. Austria,Suicide
11/26/2009,Jennersdorf -  Austria,Suicide
02/03/2010,Salzburg -  Austria,Other Accident
10/08/2010,Vienna -  Austria,Suicide
11/16/2010,Reutte -  Austria,Other Accident
02/14/2011,Salzburg -  Austria,Other Accident
12/29/2011,Vienna -  Austria,Other Accident
06/28/2012,St. Nikola an der Donau -  Austria,Suicide
09/13/2012,Vienna -  Austria,Drug-Related
11/09/2012,Klagenfurt -  Austria,Suicide
08/19/2013,Vienna -  Austria,Suicide
01/01/2014,Rohrberg,Veh. Accid-Auto
01/05/2015,Soelden -  Tyrol,Natural Disaster
01/05/2015,Soelden -  Tyrol,Natural Disaster
01/07/2015,Hohenems,Suicide
06/07/2016,Innsbruck,Other Accident
04/29/2018,Reutte -  Tyrol,Other Accident
08/01/2017,Baku,Drowning
11/17/2002,Island Of San Salvador -  The Bahamas,Drowning
12/15/2002,Providenciales -  Turks And Caicos Islands -  British West Indies,Drowning
01/01/2003,Andros -  The Bahamas,Drowning
01/21/2003,Nassau -  The Bahamas,Drowning
03/25/2003,Mermaid Reef -  Marsh Harbour -  Abaco -  The Bahamas,Drowning
05/31/2003,Green Turtle Cay -  Abaco -  The Bahamas,Maritime Accident
07/18/2003,Freeport -  Grand Bahamas -  The Bahamas,Air Accident
08/15/2003,Freeport -  Grand Bahamas -  The Bahamas,Drowning
08/29/2003,Cable Beach -  Nassau -  The Bahamas,Maritime Accident
12/10/2003,Nassau -  The Bahamas,Drowning
01/03/2004,Bimini -  The Bahamas,Drowning
01/23/2004,Freeport -  The Bahamas,Veh. Accident-Auto
05/27/2004,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
05/27/2004,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
05/28/2004,Cat Cay -  Bimini -  The Bahamas,Drowning
06/15/2004,Guana Cay -  Abaco -  The Bahamas,Drowning
08/01/2004,Harbour Island -  Eleuthera -  The Bahamas,Drowning
10/19/2004,New Bight -  Cat Island -  The Bahamas,Homicide
